name,ring,quadrant,isNew,description,
xamarin,hold,languages&frameworks,TRUE,TBD,
ActiveMQ,assess,platforms,FALSE,TBD,
PowerMock,hold,languages&frameworks,FALSE,TBD,
react native,assess,languages&frameworks,FALSE,TBD,
ionic,assess,languages&frameworks,FALSE,TBD,
Log Level per request,trial,techniques,FALSE,TBD,
Camunda,assess,languages&frameworks,FALSE,TBD,
OpenJDK,adopt,languages&frameworks,TRUE,TBD,
Java8,hold,languages&frameworks,TRUE,TBD,
Node.js,trial,languages&frameworks,FALSE,Node.js can be used for BFFs and very small services with little business logic and which are self-contained and don't need other services and/or storages.,
Express,trial,languages&frameworks,TRUE,Express is the defacto mainstream application framework for Node.js.,
Python,adopt,languages&frameworks,TRUE,TBD,
Kafka Streams,trial,languages&frameworks,TRUE,TBD,
Scala,assess,languages&frameworks,TRUE,TBD,
Web Components,adopt,languages&frameworks,FALSE,In general we beieve in Web Components as an appealing appiach, e.g. to easily integrate LaF partner. Nonetheless we have some technical challengies in Interhome/React where we cannot fully utilize the benefits of Web Components yet.
Salesforce Sales Cloud,hold,platforms,TRUE,Salesforce Sales Cloud is currently only used as a technical middle layer to integrate with the Salesforce Marketing Cloud. ,
Cypress,assess,tools,TRUE,TBD,
Hazelcast,trial,platforms,TRUE,Hazelcast can be used as a distributed caching mechanism. Already used as local cache in HVB project.,
